iter	Logloss
0	0.6909474373
1	0.6883956909
2	0.6866053104
3	0.6843015671
4	0.6817957878
5	0.679912281
6	0.6776856422
7	0.6754134655
8	0.6732665539
9	0.6712265491
10	0.6685683727
11	0.6653699875
12	0.6624723911
13	0.6608957291
14	0.6584182739
15	0.6562628746
16	0.6533914566
17	0.6511115074
18	0.6486157894
19	0.6458180428
20	0.6431826591
21	0.6406857491
22	0.6384325504
23	0.6364762306
24	0.6347406864
25	0.6324469566
26	0.6310348988
27	0.6283419609
28	0.6265608311
29	0.6244747162
30	0.6219280243
31	0.6195521355
32	0.6179140568
33	0.6152118683
34	0.6137337685
35	0.6119726658
36	0.6095880508
37	0.607596302
38	0.6051844597
39	0.6031467915
40	0.6010991573
41	0.5991723061
42	0.5971970081
43	0.5953321457
44	0.5938922405
45	0.5927824974
46	0.5908485889
47	0.5888396263
48	0.5870301723
49	0.5854797363
50	0.5835636139
51	0.5813287735
52	0.579623127
53	0.5776501656
54	0.5754842758
55	0.5737170219
56	0.5723689079
57	0.5706799507
58	0.5689895153
59	0.5670899868
60	0.5654266357
61	0.5638741016
62	0.5622054577
63	0.56048069
64	0.5592783451
65	0.5579072952
66	0.5560908318
67	0.554681778
68	0.5531460762
69	0.5516952038
70	0.5499133587
71	0.5475225449
72	0.5459910393
73	0.544081831
74	0.5423553467
75	0.540237999
76	0.5386403084
77	0.5372868538
78	0.5358151436
79	0.5340798855
80	0.5321022034
81	0.5308139801
82	0.5300039291
83	0.5285713196
84	0.5272163868
85	0.5258832932
86	0.5241974831
87	0.522770071
88	0.5213686943
89	0.5194094658
90	0.5182854176
91	0.5166553497
92	0.5157818794
93	0.5139918804
94	0.5123268127
95	0.510925293
96	0.5091526031
97	0.5076489449
98	0.5063554764
99	0.5044769764
100	0.5028141975
101	0.501318121
102	0.4995054722
103	0.4981911659
104	0.4970079899
105	0.4955416203
106	0.4942234039
107	0.4926408768
108	0.4914793015
109	0.4898561001
110	0.4884532928
111	0.4867681026
112	0.4854031563
113	0.4840464592
114	0.4827441216
115	0.4812649727
116	0.4802588463
117	0.4783555031
118	0.4770046234
119	0.4758176804
120	0.4741972923
121	0.4729744434
122	0.4714754581
123	0.4700998306
124	0.4688380241
125	0.467539072
126	0.4664683342
127	0.4656126976
128	0.4646951199
129	0.463531971
130	0.4618761063
131	0.4605893135
132	0.459343195
133	0.4583030701
134	0.4567997456
135	0.455794239
136	0.4541680336
137	0.4530241013
138	0.451239109
139	0.4498921871
140	0.4487719536
141	0.4475290298
142	0.4463479042
143	0.445013237
144	0.4433577061
145	0.4424317837
146	0.4414753914
147	0.4404809952
148	0.4391223907
149	0.438044405
150	0.4370254993
151	0.4360794067
152	0.4347229958
153	0.4333758354
154	0.4317965031
155	0.4304950237
156	0.429259491
157	0.4283889294
158	0.4271893978
159	0.4260231972
160	0.4251449585
161	0.4239151955
162	0.4226153851
163	0.4212709427
164	0.420208931
165	0.4191482544
166	0.4178525925
167	0.4167988777
168	0.4157705307
169	0.4150698662
170	0.4139855862
171	0.4131162643
172	0.4122941971
173	0.4111972809
174	0.4100648403
175	0.4086957932
176	0.4075047016
177	0.4067123413
178	0.4055035591
179	0.4048454285
180	0.4041869164
181	0.4032793999
182	0.4026569366
183	0.4019050598
184	0.4012700081
185	0.4000376225
186	0.3987449646
187	0.3975482464
188	0.396603632
189	0.3960727215
190	0.3949729919
191	0.3938899279
192	0.3929205179
193	0.3920722485
194	0.39068048
195	0.3893617868
196	0.3884722233
197	0.3876967907
198	0.3867310524
199	0.3857585907
200	0.3847484112
201	0.3839314222
202	0.3828572273
203	0.3819742203
204	0.3811541557
205	0.3799235821
206	0.3787041187
207	0.3778270483
208	0.3764212847
209	0.3757136822
210	0.3747731686
211	0.3739643574
212	0.3731868744
213	0.3720852613
214	0.3714334249
215	0.3700837851
216	0.3690998554
217	0.3681918859
218	0.3676520586
219	0.3668248177
220	0.3662549019
221	0.3654208183
222	0.3645921469
223	0.3635089874
224	0.3626458168
225	0.3618028641
226	0.3606660366
227	0.3599595308
228	0.3586335659
229	0.3577108383
230	0.3570800304
231	0.356175375
232	0.3549526691
233	0.3540578127
234	0.3529876232
235	0.3522469282
236	0.3512716532
237	0.3504515648
238	0.3497102976
239	0.3490822077
240	0.3483351707
241	0.3475500107
242	0.346737361
243	0.3460156918
244	0.345043993
245	0.3441488504
246	0.3431798458
247	0.3425884724
248	0.3417063713
249	0.3408026457
250	0.3398414135
251	0.3392855167
252	0.3386567354
253	0.3377783775
254	0.3372358799
255	0.3366637468
256	0.3360300064
257	0.3355243921
258	0.3348216534
259	0.3340512991
260	0.3332111835
261	0.3323568583
262	0.3311868668
263	0.3305408239
264	0.3297528744
265	0.3291236162
266	0.3286368847
267	0.3280269146
268	0.3273357868
269	0.3266214848
270	0.3258285046
271	0.3253322601
272	0.3248065948
273	0.323908782
274	0.3232396841
275	0.322743392
276	0.3222023964
277	0.3212996006
278	0.3205094576
279	0.3198232174
280	0.3188922644
281	0.3184272528
282	0.3176214933
283	0.3169762611
284	0.3161642313
285	0.3153954029
286	0.3145953655
287	0.313988924
288	0.3132326365
289	0.3125959873
290	0.3117445469
291	0.3112503529
292	0.3104954243
293	0.3100148678
