iter	Passed	Remaining
0	143	142931
1	145	72363
2	148	49470
3	153	38302
4	155	30968
5	159	26505
6	163	23236
7	167	20777
8	170	18786
9	173	17189
10	175	15819
11	178	14678
12	180	13674
13	182	12862
14	184	12116
15	186	11472
16	188	10905
17	190	10382
18	192	9920
19	193	9488
20	195	9095
21	196	8734
22	197	8399
23	198	8090
24	200	7802
25	201	7554
26	203	7323
27	204	7096
28	205	6884
29	206	6686
30	208	6505
31	209	6332
32	210	6169
33	212	6033
34	214	5900
35	215	5763
36	216	5633
37	217	5508
38	218	5393
39	220	5286
40	221	5186
41	222	5084
42	224	4990
43	225	4897
44	226	4808
45	227	4728
46	229	4647
47	230	4571
48	231	4502
49	233	4429
50	234	4367
51	235	4300
52	237	4236
53	238	4175
54	239	4117
55	241	4066
56	242	4016
57	244	3963
58	244	3906
59	246	3856
60	247	3807
61	248	3766
62	250	3720
63	251	3677
64	252	3638
65	254	3600
66	255	3564
67	257	3524
68	258	3485
69	259	3447
70	260	3410
71	261	3374
72	263	3346
73	264	3314
74	266	3281
75	267	3250
76	268	3218
77	269	3190
78	271	3161
79	272	3134
80	274	3110
81	275	3085
82	277	3061
83	278	3036
84	279	3010
85	280	2985
86	282	2960
87	283	2940
88	285	2921
89	286	2899
90	287	2876
91	289	2854
92	290	2831
93	291	2811
94	292	2790
95	294	2773
96	296	2756
97	297	2735
98	298	2718
99	299	2699
100	301	2680
101	302	2662
102	303	2643
103	305	2628
104	306	2612
105	307	2595
106	308	2578
107	310	2560
108	311	2544
109	312	2528
110	313	2514
111	315	2501
112	317	2491
113	318	2479
114	320	2466
115	321	2451
116	322	2436
117	324	2422
118	325	2409
119	327	2398
120	328	2387
121	329	2374
122	331	2360
123	332	2346
124	333	2333
125	334	2323
126	336	2311
127	337	2300
128	338	2288
129	340	2275
130	341	2264
131	342	2254
132	343	2242
133	345	2230
134	346	2219
135	347	2209
136	349	2200
137	350	2191
138	352	2181
139	353	2172
140	354	2162
141	356	2153
142	357	2144
143	359	2134
144	360	2124
145	361	2114
146	362	2104
147	364	2095
148	365	2085
149	366	2076
150	367	2067
151	369	2058
152	370	2051
153	371	2043
154	373	2034
155	374	2025
156	375	2016
157	376	2007
158	378	2001
159	379	1993
160	380	1984
161	382	1976
162	383	1968
163	384	1961
164	386	1953
165	387	1946
166	389	1940
167	390	1933
168	391	1926
169	392	1918
170	394	1911
171	395	1903
172	396	1895
173	397	1887
174	399	1882
175	400	1875
176	401	1868
177	403	1861
178	404	1854
179	405	1847
180	406	1841
181	408	1834
182	409	1827
183	410	1821
184	411	1814
185	413	1807
186	414	1800
187	415	1794
188	416	1787
189	418	1782
190	419	1776
191	421	1772
192	422	1766
193	423	1760
194	424	1754
195	426	1747
196	427	1742
197	428	1736
198	429	1730
199	431	1724
200	432	1720
201	434	1716
202	436	1711
203	437	1706
204	438	1701
205	439	1695
206	441	1690
207	442	1685
208	443	1680
209	445	1674
210	446	1668
211	447	1663
212	449	1659
213	450	1653
214	451	1648
215	452	1643
216	454	1638
217	455	1633
218	456	1628
219	457	1623
220	459	1618
221	460	1612
222	461	1607
223	462	1603
224	464	1598
225	465	1593
226	466	1588
227	467	1583
228	468	1578
229	469	1573
230	471	1568
231	472	1563
232	473	1558
233	474	1553
234	475	1549
235	477	1544
236	478	1540
237	479	1535
238	480	1530
239	481	1525
240	483	1521
241	484	1516
242	485	1512
243	486	1507
244	487	1502
245	488	1498
246	490	1493
247	491	1489
248	492	1485
249	493	1481
250	494	1476
251	495	1472
252	497	1468
253	498	1463
254	499	1459
255	500	1455
256	502	1451
257	503	1447
258	504	1443
259	505	1439
260	506	1434
261	507	1430
262	509	1426
263	510	1422
264	511	1418
265	512	1414
266	513	1410
267	515	1406
268	516	1402
269	517	1398
270	518	1394
271	519	1390
272	520	1387
273	522	1383
274	523	1379
275	524	1375
276	525	1372
277	527	1368
278	528	1366
279	530	1362
280	531	1359
281	532	1355
282	533	1352
283	535	1349
284	536	1345
285	537	1342
286	539	1339
287	540	1335
288	542	1333
289	543	1330
290	545	1328
291	546	1325
292	547	1321
293	549	1319
294	550	1316
295	552	1313
296	553	1310
297	555	1307
298	557	1307
299	560	1306
300	562	1305
301	564	1303
302	565	1301
303	568	1300
304	570	1299
305	572	1298
306	574	1297
307	576	1295
308	578	1293
309	579	1290
310	581	1288
311	582	1285
312	584	1282
313	586	1281
314	589	1281
315	590	1278
316	592	1276
317	594	1274
318	595	1271
319	597	1269
320	598	1266
321	600	1263
322	601	1260
323	602	1257
324	603	1253
325	604	1250
326	606	1247
327	607	1244
328	608	1240
329	609	1237
330	610	1234
331	612	1231
332	613	1229
333	615	1226
334	616	1223
335	617	1220
336	618	1217
337	619	1214
338	621	1211
339	622	1207
340	623	1205
341	625	1203
342	626	1200
343	628	1197
344	629	1195
345	632	1195
346	634	1193
347	635	1191
348	637	1188
349	638	1186
350	639	1183
351	641	1180
352	642	1177
353	643	1174
354	645	1172
355	646	1169
356	647	1166
357	649	1163
358	650	1161
359	651	1158
360	652	1155
361	654	1152
362	655	1150
363	657	1148
364	658	1145
365	659	1143
366	661	1140
367	662	1138
368	664	1135
369	665	1133
370	667	1131
371	669	1129
372	670	1127
373	672	1124
374	673	1122
375	674	1120
376	676	1118
377	678	1116
378	680	1114
379	681	1111
380	682	1109
381	684	1106
382	685	1104
383	687	1102
384	688	1099
385	690	1097
386	691	1095
387	693	1093
388	694	1091
389	695	1088
390	697	1086
391	698	1083
392	700	1081
393	701	1079
394	702	1076
395	704	1074
396	705	1071
397	706	1069
398	708	1067
399	710	1065
400	711	1063
401	713	1061
402	714	1058
403	716	1056
404	717	1054
405	718	1051
406	720	1049
407	722	1047
408	723	1045
409	724	1043
410	726	1040
411	727	1037
412	728	1035
413	730	1033
414	731	1031
415	733	1029
416	734	1026
417	735	1024
418	737	1022
419	738	1019
420	740	1017
421	741	1015
422	743	1013
423	744	1011
424	745	1008
425	746	1006
426	747	1003
427	749	1001
428	750	999
429	752	997
430	753	995
431	754	992
432	756	990
433	757	988
434	758	985
435	759	983
436	761	980
437	762	978
438	764	976
439	765	974
440	766	972
441	768	969
442	769	967
443	770	964
444	772	962
445	773	960
446	774	958
447	776	956
448	777	953
449	778	951
450	779	949
451	780	946
452	782	944
453	783	942
454	785	940
455	786	938
456	787	936
457	788	933
458	790	931
459	791	928
460	792	926
461	794	924
462	795	922
463	796	920
464	797	918
465	799	915
466	800	913
467	801	911
468	802	908
469	804	906
470	805	905
471	807	902
472	808	900
473	809	898
474	810	895
475	811	893
476	812	891
477	814	889
478	815	887
479	817	885
480	818	883
481	819	881
482	821	878
483	822	876
484	823	874
485	824	872
486	826	870
487	827	868
488	829	866
489	830	864
490	832	862
491	833	860
492	834	858
493	836	856
494	837	854
495	838	852
496	839	850
497	841	847
498	842	845
499	843	843
500	845	841
501	846	839
502	848	837
503	849	835
504	850	833
505	851	831
506	852	829
507	853	827
508	855	825
509	856	823
510	858	821
511	859	819
512	860	817
513	861	814
514	863	812
515	864	810
516	865	808
517	866	806
518	868	804
519	869	802
520	870	800
521	871	798
522	872	796
523	874	794
524	875	792
525	876	790
526	878	788
527	879	786
528	880	783
529	881	781
530	882	779
531	884	777
532	885	775
533	886	773
534	888	772
535	889	770
536	891	768
537	892	766
538	893	764
539	894	761
540	895	759
541	896	757
542	898	755
543	899	753
544	900	752
545	902	750
546	903	748
547	905	746
548	906	744
549	907	742
550	908	740
551	910	738
552	911	736
553	912	734
554	914	732
555	915	731
556	916	729
557	918	727
558	919	725
559	920	723
560	922	721
561	923	719
562	924	717
563	925	715
564	926	713
565	927	711
566	929	709
567	930	707
568	932	706
569	933	704
570	934	702
571	936	700
572	937	698
573	938	696
574	939	694
575	941	692
576	942	691
577	944	689
578	945	687
579	947	685
580	948	684
581	949	682
582	951	680
583	952	678
584	954	676
585	955	675
586	956	673
587	958	671
588	959	669
589	960	667
590	962	665
591	963	664
592	965	662
593	966	660
594	968	659
595	969	657
596	971	655
597	972	654
598	974	652
599	976	650
600	977	649
601	979	647
602	980	645
603	982	643
604	983	642
605	984	640
606	986	638
607	987	636
608	989	634
609	990	633
610	991	631
611	992	629
612	994	627
613	995	625
614	996	624
615	998	622
616	999	620
617	1000	618
618	1002	616
619	1003	614
620	1004	613
621	1006	611
622	1007	609
623	1009	608
624	1010	606
625	1011	604
626	1012	602
627	1014	600
628	1015	599
629	1017	597
630	1018	595
631	1019	593
632	1021	592
633	1022	590
634	1023	588
635	1025	586
636	1026	584
637	1027	583
638	1029	581
639	1030	579
640	1031	577
641	1033	576
642	1034	574
643	1035	572
644	1036	570
645	1038	568
646	1039	567
647	1040	565
648	1041	563
649	1042	561
650	1044	559
651	1045	558
652	1046	556
653	1048	554
654	1049	552
655	1050	551
656	1052	549
657	1054	547
658	1055	546
659	1056	544
660	1057	542
661	1059	540
662	1060	539
663	1061	537
664	1063	535
665	1064	533
666	1065	532
667	1066	530
668	1068	528
669	1069	526
670	1070	525
671	1072	523
672	1073	521
673	1074	519
674	1075	517
675	1076	516
676	1078	514
677	1079	512
678	1081	511
679	1083	509
680	1084	508
681	1086	506
682	1087	504
683	1089	503
684	1091	501
685	1093	500
686	1094	498
687	1095	497
688	1097	495
689	1098	493
690	1100	492
691	1101	490
692	1103	488
693	1105	487
694	1106	485
695	1108	484
696	1109	482
697	1110	480
698	1112	479
699	1114	477
700	1115	475
701	1117	474
702	1118	472
703	1120	470
704	1121	469
705	1122	467
706	1124	465
707	1125	464
708	1126	462
709	1127	460
710	1128	458
711	1129	457
712	1131	455
713	1132	453
714	1133	451
715	1135	450
716	1136	448
717	1137	446
718	1138	445
719	1139	443
720	1141	441
721	1142	439
722	1144	438
723	1145	436
724	1146	435
725	1148	433
726	1149	431
727	1151	430
728	1152	428
729	1154	426
730	1155	425
731	1157	423
732	1158	421
733	1159	420
734	1160	418
735	1161	416
736	1162	414
737	1164	413
738	1165	411
739	1167	410
740	1168	408
741	1169	406
742	1170	404
743	1171	403
744	1173	401
745	1175	400
746	1176	398
747	1177	396
748	1179	395
749	1180	393
750	1181	391
751	1182	389
752	1183	388
753	1185	386
754	1186	385
755	1188	383
756	1189	381
757	1190	380
758	1192	378
759	1193	376
760	1194	375
761	1195	373
762	1196	371
763	1198	370
764	1199	368
765	1201	366
766	1202	365
767	1203	363
768	1204	361
769	1206	360
770	1207	358
771	1208	357
772	1210	355
773	1211	353
774	1212	351
775	1213	350
776	1214	348
777	1215	346
778	1217	345
779	1219	343
780	1220	342
781	1221	340
782	1222	338
783	1223	337
784	1225	335
785	1226	333
786	1227	332
787	1228	330
788	1230	328
789	1231	327
790	1232	325
791	1233	324
792	1234	322
793	1236	320
794	1237	319
795	1238	317
796	1239	315
797	1241	314
798	1242	312
799	1244	311
800	1245	309
801	1246	307
802	1247	306
803	1249	304
804	1250	302
805	1252	301
806	1253	299
807	1255	298
808	1256	296
809	1257	295
810	1259	293
811	1261	292
812	1262	290
813	1264	288
814	1265	287
815	1267	285
816	1268	284
817	1270	282
818	1271	281
819	1273	279
820	1275	278
821	1276	276
822	1278	274
823	1279	273
824	1280	271
825	1282	270
826	1284	268
827	1285	267
828	1287	265
829	1288	263
830	1290	262
831	1291	260
832	1293	259
833	1294	257
834	1296	256
835	1297	254
836	1299	253
837	1300	251
838	1302	249
839	1303	248
840	1305	246
841	1306	245
842	1308	243
843	1309	242
844	1311	240
845	1312	238
846	1314	237
847	1315	235
848	1317	234
849	1319	232
850	1321	231
851	1323	229
852	1324	228
853	1326	226
854	1327	225
855	1329	223
856	1331	222
857	1332	220
858	1334	219
859	1335	217
860	1337	215
861	1338	214
862	1340	212
863	1342	211
864	1343	209
865	1345	208
866	1346	206
867	1347	204
868	1349	203
869	1350	201
870	1351	200
871	1352	198
872	1354	196
873	1355	195
874	1356	193
875	1358	192
876	1360	190
877	1361	189
878	1362	187
879	1363	185
880	1364	184
881	1366	182
882	1368	181
883	1369	179
884	1370	178
885	1372	176
886	1373	174
887	1374	173
888	1375	171
889	1377	170
890	1378	168
891	1380	167
892	1381	165
893	1383	163
894	1384	162
895	1385	160
896	1387	159
897	1388	157
898	1390	156
899	1392	154
900	1393	153
901	1394	151
902	1396	149
903	1397	148
904	1398	146
905	1400	145
906	1402	143
907	1403	142
908	1404	140
909	1405	139
910	1407	137
911	1408	135
912	1410	134
913	1411	132
914	1412	131
915	1414	129
916	1415	128
917	1416	126
918	1417	124
919	1419	123
920	1420	121
921	1422	120
922	1423	118
923	1425	117
924	1426	115
925	1427	114
926	1428	112
927	1430	110
928	1431	109
929	1433	107
930	1434	106
931	1435	104
932	1436	103
933	1437	101
934	1439	100
935	1440	98
936	1441	96
937	1443	95
938	1444	93
939	1446	92
940	1447	90
941	1448	89
942	1449	87
943	1451	86
944	1452	84
945	1453	82
946	1455	81
947	1456	79
948	1457	78
949	1458	76
950	1460	75
951	1461	73
952	1463	72
953	1464	70
954	1465	69
955	1466	67
956	1468	65
957	1469	64
958	1470	62
959	1471	61
960	1473	59
961	1474	58
962	1476	56
963	1477	55
964	1478	53
965	1479	52
966	1481	50
967	1482	49
968	1483	47
969	1485	45
970	1486	44
971	1487	42
972	1488	41
973	1490	39
974	1491	38
975	1493	36
976	1494	35
977	1495	33
978	1497	32
